role	text	intent	from	location	to
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	Is carignano supported?	city_supported		carignano	
b	Nearest supported city is Torino				
u	Ok thanks	thank			
					
u	Hey	greeting			
b	Hi there! How can I help?				
u	Is saluzzo supported?	city_supported		saluzzo	
b	Yes, Saluzzo is supported				
u	Is carignano supported?	city_supported		carignano	
b	Nearest supported city is Torino				
u	Is Torino supported?	city_supported		Torino	
b	Yes, Torino is supported				
u	i am in torino	set_position		torino	
b	Ok I got your position				
u	find me a bike	search_bike			
b	You can find 3 free bikes at station Galileo Ferraris 6				
u	thanks!	thank			
b	You're welcome!				
u	where can I park?	search_slot			
b	You can find 5 free slots at station Galileo Ferraris 6				
					
u	hi	greeting			
b	Hi there! How can I help?				
u	find me a bike	search_bike			
b	Where are you?				
u	near politecnico di torino	search_bike		politecnico di torino	
b	You can find 3 free bikes at station Galileo Ferraris 6				
u	thanks	thank			
b	You're welcome!				
					
u	hello	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	how  r u?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
					
u	Hello	greeting			
b	Hi there! How can I help?				
u	What can you do	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	A bike in Singapore 	search_bike		Singapore	
b	Impossible to find informations. Something went wrong!				
u	Hi	greeting			
b	Hi there! How can I help?				
u	What can you do	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	Please find me a bike in Singapore 	search_bike		Singapore	
b	Impossible to find informations. Something went wrong!				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	hello	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	how are you doing?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
					
u	Hello 	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hola	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
					
u	hi dear	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	I need a bike	search_bike			
b	Where are you?				
u	BOLIVIA				
b	Your sentence does not have an intent	search_bike		BOLIVIA	
					
u	:)	thank			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	You're welcome!				
					
u	 Hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	hello	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hello 	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	give me a bike	search_bike			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Where are you?				
u	I am in palazzo madama in torino	set_position		palazzo madama in torino	
b	Ok I got your position				
b	You can find 8 free bikes at station Castello 2				
u	I want to go to torino porta nuova	plan_trip			torino porta nuova
b	You can find 14 free bikes at station Castello 2 and 2 free slots at station Porta Nuova 2				
					
u	Hello 	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hey	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	hola	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	Give me more information about bike	search_bike			
b	Where are you?				
u	Nice airport	set_position		Nice airport	
b	You can find 5 free bikes at station Marina 2&3				
u	👍				
u	Ok	end_discussion		Ok	
					
u	Hi 	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	hello	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	hello	greeting			
b	Hi there! How can I help?				
u	Find me a bike	search_bike			
b	Where are you?				
u	Residenza borsellino torino	set_position		Residenza borsellino torino	
b	Ok I got your position				
u	Find me a bike	search_bike			
b	You can find 2 free bikes at station Ferrucci				

u	hi	greeting			
b	Hi there! How can I help?				
u	i want a bike	search_bike			
b	Where are you?				
u	i am in torino	set_position		torino	
b	Ok I got your position				
u	give me a bike	search_bike			
b	You can find 10 free bikes at station Ferrucci				
u	thanks	thank			
b	You're welcome!				
u	I'm in Piazza Castello Torino	search_bike		Piazza Castello Torino	
b	Ok I got your position				
u	i'm looking for a bike	search_bike			
b	You can find 9 free bikes at station Ferrucci				
					
u	hi	greeting			
b	Hi there! How can I help?				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	I'm in via Vignale 21 Torino	set_position		via Vignale 21 Torino	
					
u	hi	greeting			
b	Hi there! How can I help?				
u	I'm looking for a bike	search_bike			
b	Where are you?				
u	via vignale 21, torino	search_bike		via vignale 21, torino	

u	hi	greeting			
b	Hi there! How can I help?				
u	I'm looking for a bike	search_bike			
b	Where are you?				
u	I'm in Piazza Castello Torino	search_bike		Piazza Castello Torino	

u	hi	greeting			
b	Hi there! How can I help?				
u	i'm looking for a bike	search_bike			
b	Where are you?				
u	next to Porta Susa	search_bike		Porta Susa	
b	You can find 3 bikes at station				
u	I'm next to Porta Susa, Torino	set_position		Porta Susa, Torino	
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	hi!	greeting			
b	Hi there! How can I help?				
u	What Can you do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	There are some bike near me?	search_bike			
b	You can find 18 free bikes at station Orient Heights T Stop - Bennington St at Saratoga St				
u	I am in Turin	set_position		Turin	
b	Ok I got your position				
u	There are bike near me?	search_bike			
b	You can find 18 free bikes at station Orient Heights T Stop - Bennington St at Saratoga St				
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Welcome! I am BotCycle and can give you bike sharing informations				
u	hello!	greeting			
b	Hi there! How can I help?				
u	help me	ask_position			
b	Where are you?				
u	coggiola	set_position		coggiola	
b	Your sentence does not have an intent				
u	I am in Coggiola	set_position		Coggiola	
b	Ok I got your position				
u	and now?				
b	Your sentence does not have an intent				
u	What can I ask you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	bike sharing coggiola	search_bike			
b	You can find 1 free bikes at station Stazione Ferroviaria				
u	👎				
u	It is very far from me				
b	Your sentence does not have an intent				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	give me a bike	search_bike			
b	Where are you?				
u	i am in torino	set_position		torino	
b	Ok I got your position				
u	Hi there!	greeting			
b	Hi there! How can I help?				
u	find me a bike	search_bike			
b	You can find 7 free bikes at station Castello 2				

u	hi	greeting			
b	Hi there! How can I help?				
u	find me a bike	search_bike			
b	You can find 11 free bikes at station Castello 2				
u	hi there	greeting			
b	Hi there! How can I help?				
u	Hey	greeting			
b	Hi there! How can I help?				
u	find me a bike	search_bike			
b	You can find 13 free bikes at station Castello 2				
u	👍				

u	hi	greeting			
b	Hi there! How can I help?				
u	i am at politecnico	set_position		politecnico	
b	Ok I got your position				
u	i am at politecnico di torino	set_position		politecnico di torino	
b	Ok I got your position				
u	give me a bike	search_bike			
b	You can find 17 free bikes at station Politecnico 1				
u	hi	greeting			
b	Hi there! How can I help?				
u	can you work?	city_supported			
b	Nearest supported city is Torino				
u	Find me a bike near Central Park	search_bike		Central Park	
b	Impossible to find informations. Something went wrong!				
u	Find me a bike near Central Park	search_bike		Central Park	
b	Impossible to find informations. Something went wrong!				

u	hi	greeting			
b	Hi there! How can I help?				
u	find me a bike	search_bike			
b	You can find 11 free bikes at station Politecnico 1				
u	Find me a bike near Central Park	search_bike		Central Park	
b	You can find 1 free bikes at station 14th St Ferry Terminal				
u	Find me a parking near Central Park	search_slot		Central Park	
b	You can find 1 free slots at station 14th St Ferry Terminal				
u	Find me a bike near Central Park	search_bike		Central Park	
b	You can find 1 free bikes at station 14th St Ferry Terminal				
u	find me a bike near Big Ben	search_bike		Big Ben	
b	You can find 1 free bikes at station 200202 - Storey's Gate, Westminster				

u	hi	greeting			
b	Hi there! How can I help?				
u	give me a bike near polito	search_bike		polito	
b	You can find 4 free bikes at station Kellogg Community College				
u	can you work in tokyo?	city_supported		tokyo	
b	Nearest supported city is 富山市				

u	hi	greeting			
b	Hi there! How can I help?				
u	I am at ismb	set_position		ismb	
b	Ok I got your position				
u	i am at istituto superiore mario boella	set_position		istituto superiore mario boella	
b	Ok I got your position				
u	I am at politecnico di torino	set_position		politecnico di torino	
b	Ok I got your position				
u	find me a bike	search_bike			
b	You can find 8 free bikes at station Politecnico 1				
u	where can I leave the bike?	search_slot			
b	You can find 11 free slots at station Politecnico 1				
u	find me a bike	search_bike			
b	You can find 8 free bikes at station Politecnico 1				

u	hi	greeting			
b	Hi there! How can I help?				
u	I am near Big Ben	set_position		Big Ben	
b	Ok I got your position				
u	I am near Big Ben Tower	set_position		Big Ben Tower	
b	Ok I got your position				
u	Find me a bike	search_bike			
b	You can find 16 free bikes at station 200231 - Abingdon Green, Westminster				
u	hi	greeting			
b	Hi there! How can I help?				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	i want to go to piazza massaua	plan_trip			piazza massaua
b	Where are you?				
u	I'm in piazza castello, Torino	set_position		piazza castello, Torino	
b	I didn't manage to extract a position from your sentence				
b	Where are you?				
u	I'm in piazza castello, Torino	set_position		piazza castello, Torino	
b	I didn't manage to extract a position from your sentence				
b	Where are you?				
u	I'm in piazza castello	set_position		piazza castello	
b	Ok I got your position				
b	You can find 14 free bikes at station Castello 2				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	I'm in piazza castello, Torino	set_position		piazza castello, Torino	
b	I didn't manage to extract a position from your sentence				
u	I'm in piazza castello, Torino	set_position		piazza castello, Torino	
b	I didn't manage to extract a position from your sentence				
u	I'm in piazza castello	set_position		piazza castello	
b	Ok I got your position				
u	I'm in piazza castello, Torino	set_position		piazza castello, Torino	
b	Ok I got your position				
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	i want to go to via borsellino torino	plan_trip			via borsellino torino
b	Where are you?				
u	i am at piazza carducci torino	set_position		piazza carducci torino	
b	Ok I got your position				
b	You can find 10 free bikes at station Carducci				
u	i want to go to via paolo borsellino Torino 	plan_trip			via paolo borsellino Torino
b	You can find 10 free bikes at station Carducci and 6 free slots at station O.G.R.				
					
u	Hi! I need a bike	search_bike			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	You can find 5 free bikes at station Marina 2&3				

u	hi	greeting			
b	Hi there! How can I help?				
u	locate me	ask_position			
b	Where are you?				
u					
b	Ok I got your position				
u	give me a bike	search_bike			
b	You can find 12 free bikes at station Marmolada				
					
u	hi	greeting			
b	Hi there! How can I help?				
u	i'm searching a bike near saluzzo	search_bike		saluzzo	
b	Impossible to find informations				
u	i want a bike in saluzzo	search_bike		saluzzo	
b	Impossible to find informations				
u	is saluzzo supported?	city_supported		saluzzo	
b	Yes, Saluzzo is supported				
u	there is a bike?	search_bike			
b	You can find 2 free bikes at station Castello 2				
u	i'm not in turin	ask_position			
b	Ok I got your position				
u	my position is wrong	ask_position			
b	Where are you?				
u	i'm near saluzzo	set_position		saluzzo	
b	Ok I got your position				
u	where is the nearest bike?	search_bike			
b	You can find 9 free bikes at station West 3rd & Bakewell				
u	can i go to savigliano by bike?	plan_trip			savigliano
b	Your trip has no origin and no destination				
u	i want to start from saluzzo and arrive in savigliano	plan_trip	saluzzo		savigliano
b	Your sentence does not have an intent				
u	there are free bikes near lingotto station?	search_slot		lingotto station	
b	You can find 6 empty slots at station Pio VII 2				
u	no, i'm searching a bike near lingotto	search_bike		lingotto	
b	You can find 5 free bikes at station Pio VII 2				
u	and can i left it near piazza castello?	search_slot		piazza castello	
b	You can find 17 empty slots at station Castello 2				
u	i want to go from lingotto to piazza castello	plan_trip	lingotto		piazza castello
b	You can find 5 free bikes at station Pio VII 2				
b	You can find 16 empty slots at station Castello 2				
u	ok, let's go	thank			
b	Your sentence does not have an intent				

u	can i go from lingotto to piazza castello?	plan_trip	lingotto		piazza castello
b	You can find 5 free bikes at station Pio VII 2				
b	You can find 16 empty slots at station Castello 2				
u	how can i go from lingotto to piazza castello?	plan_trip	lingotto		piazza castello
b	You can find 5 free bikes at station Pio VII 2				
b	You can find 16 empty slots at station Castello 2				
u	ok, thanks	thank			
b	You're welcome!				

u	info	info			
b	Your sentence does not have an intent				
u	support	info			
b	Your sentence does not have an intent				
u	what are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	what are you able to do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	wat's your name?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	can i find free slots near posta susa?	search_slot		posta susa	
b	Impossible to find informations				
u	i want to leave my bike near porta susa	search_slot		porta susa	
b	You can find 10 empty slots at station Bolzano				
u	and how many bikes there are here?	search_bike			
b	You can find 14 free bikes at station Wacker Dr & Washington St				
u	not in washington, in turin!	set_position		turin	
b	Your sentence does not have an intent				
u	i'm in turin, porta susa station, how many free bikes there are?	search_bike		turin, porta susa station	
b	Your sentence does not have an intent				
u	i'm in turin, porta susa station	set_position		turin, porta susa station	
b	Ok I got your position				
u	how many free bikes are here	search_bike			
b	Your sentence does not have an intent				
u	can i find a bike?	search_bike			
b	You can find 2 free bikes at station Bolzano				
u	ok	end_discussion			
b	ok	end_discussion			
u	bye	end_discussion			
b	Your sentence does not have an intent				
u	good evening	end_discussion			
b	You're welcome!				
u	bye bye	end_discussion			
b	Your sentence does not have an intent				

u	how are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
					
u	hi	greeting		hi	
b	Hi there! How can I help?				
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	hi TEST	greeting			
b	Hi there! How can I help?				
u	can you work in Cuneo?	city_supported		Cuneo	
b	Yes, Cuneo is supported				
u	can you work in Borgo San Dalmazzo?	city_supported		Borgo San Dalmazzo	
b	Nearest supported city is Cuneo				
u	locate a bike near Borgo San Dalmazzo	search_bike		Borgo San Dalmazzo	
b	You can find 5 free bikes at station 8. Park Palazzi Finanziari				
u	👍			👍	
u	rent a bike next to Cuneo	find_bike		Cuneo	
b	Where are you?				
u					
b	Ok I got your position				
u	what are you able to do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	where do you work in Piemonte?	city_supported		Piemonte	
b	Nearest supported city is Torino				
u	list the supported cities of Piemonte	city_supported		Piemonte	
b	Nearest supported city is Torino				
u	where do you work in Lazio?	city_supported		Lazio	
b	Nearest supported city is Frosinone				
u	where can I leave my bike in Torino?	search_slot		Torino	
b	You can find 16 empty slots at station Castello 2				
u	👍			👍	
u	give me the path from Piazza Sabotino to Porta Nuova	plan_trip	Piazza Sabotino		Porta Nuova
b	You can find 10 free bikes at station Peschiera				
b	Impossible to find informations				
u	where am I?	ask_position			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	how are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	where can I rent a bike in Turin?	search_bike		Turin	
b	You can find 2 free bikes at station Castello 2				
u	👍			👍	
u	I am in Piazza Sabotino in Torino	set_position		Piazza Sabotino	
b	Ok I got your position				
u	I want to go to Cinema Reposi in Torino	plan_trip			Cinema Reposi in Torino
b	Your trip has no origin and no destination				
u	I want to go from my location to Porta Nuova	plan_trip	my location		Porta Nuova
b	I could not find a place named my location				
b	Where are you?				
u					
b	Ok I got your position				
u	I want to go to Porta Nuova	plan_trip			Porta Nuova
b	You can find 5 free bikes at station 8. Park Palazzi Finanziari				
b	Impossible to find informations				
u	locate me	ask_position			
b	Where are you?				
u					
b	Ok I got your position				
u	I want to go to Via Roma in Cuneo	plan_trip			Via Roma in Cuneo
b	Your trip has no origin and no destination				
u	how can I go from my position to Via Roma?	plan_trip	my position		Via Roma
b	Impossible to find informations				
b	You can find 10 empty slots at station Milwaukee Ave & Cuyler Ave				
u	👎			👎	
u	I want to go from Via Roma in Cuneo to Corso Giolitti in Cuneo	plan_trip	Via Roma in Cuneo		Corso Giolitti in Cuneo
b	Your trip has no origin and no destination				
u	find me a free slot in via Roma	search_slot		via Roma	
b	You can find 10 empty slots at station Milwaukee Ave & Cuyler Ave				
u	👎			👎	
u	Please work in Cuneo	city_supported		Cuneo	
b	Yes, Cuneo is supported				
u	find a bike near Via Roma in Cuneo	search_bike		Via Roma in Cuneo	
b	You can find 4 free bikes at station Milwaukee Ave & Cuyler Ave				
u	👎			👎	
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	Can you work in torino	city_supported		torino	
b	Yes, Torino is supported				
u	Hi TEST	greeting			
b	Hi there! How can I help?				
u	I need to go to pozzo strada from porta palazzo	plan_trip	porta palazzo		pozzo strada
b	You can find 2 free bikes at station Porta Palatina				
b	You can find 11 empty slots at station Peschiera				
u	Are there any stations near stazione lingotto?			stazione lingotto	
b	Your sentence does not have an intent				
u	Are there any free slots near stazione lingotto?	search_slot		stazione lingotto	
b	You can find 3 empty slots at station Pio VII 2				
u	I am in corso palestro 31, which is the nearest bike station?	search_bike		corso palestro 31	
b	Ok I got your position				
u	Which is the nearest bike station?	search_bike			
b	You can find 2 free bikes at station Vittoria				
u	I want to go from torino to brescia	plan_trip	torino		brescia
b	Your trip starts at Torino and ends at Brescia. You cannot take a bike from one city and go to another one!				
u	I want to go from murazzi to reggia di venaria	plan_trip	murazzi		reggia di venaria
b	Impossible to find informations				
b	You can find 1 empty slots at station 04. Reggia				
u	Thanks	thank			
b	You're welcome!				

u	Please find me another free slot near reggia di venaria	search_slot		reggia di venaria	
b	You can find 1 empty slots at station 04. Reggia				
u	Tomorrow i have to go to superga, are there any slot up there?	search_slot		superga	
b	You can find 29 empty slots at station Cleveland Pl & Spring St				
u	I am in torino and i need to go to superga	plan_trip	torino		superga
b	Your trip starts at Torino and ends at New York, NY. You cannot take a bike from one city and go to another one!				
u	I am in venaria at station reggia 04 and there are no bikes, where is the nearest bike station from here?	search_bike		venaria at station reggia 04	
b	You can find 1 free bikes at station 06. Municipio				
u	I am at reggia di venaria and i need a bike	search_bike		reggia di venaria	
b	You can find 1 free bikes at station 06. Municipio				
u	What is the nearest station to supercinema?	search_bike		supercinema	
b	Your sentence does not have an intent				
u	I am at supercinema venaria, what is the nearest bike station?	set_position		supercinema venaria	
b	Ok I got your position				
u	Find the nearest bike station	search_bike			
b	You can find 1 free bikes at station 06. Municipio				
u	I am in borgaro, are there any bike stations?	search_bike		borgaro	
b	You can find 3 free bikes at station 08. San Marchese				
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	Hello, how do you work?	info			
b	Hi there! How can I help?				
u	What are your commands?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	What city do you manage?	city_supported			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	Tell me the bikes in Turin	search_bike		Turin	
b	You can find 9 free bikes at station Castello 2				
u	👍			👍	
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	hi TEST	greeting			
b	Hi there! How can I help?				
u	Hi, i want a bike near Largo Orbassano.	search_bike		Largo Orbassano	
b	You can find 6 free bikes at station Orbassano				
u	How many free spots it has?	search_slot			
b	Your sentence does not have an intent				
u	How many free spots are near Largo Orbassano?	search_slot		Largo Orbassano	
b	You can find 10 empty slots at station Orbassano				
u	How can I reach Porta Susa?	plan_trip			Porta Susa
b	Where are you?				
u					
b	Ok I got your position				
u	How can I reach Porta Susa?	plan_trip			Porta Susa
b	You can find 6 free bikes at station Orbassano				
b	You can find 8 empty slots at station Bolzano				
u	I want to go to the Museo Egizio	plan_trip			Museo Egizio
b	You can find 6 free bikes at station Orbassano				
b	You can find 7 empty slots at station Carlo Alberto				
					
u					
b	Ok I got your position				
u	Locate me	ask_position			
b	Where are you?				
u					
b	Ok I got your position				
u	give me a bike	search_bike			
b	Impossible to find informations				

u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	book a bike	booking			
b	Impossible to find informations				
u	book me a bike	booking			
b	Sorry but you can't book bikes				
u	book a bike	booking			
b	Sorry but you can't book bikes				
u	find me a bike	search_bike			
b	Impossible to find informations				
u	find a bike	search_bike			
b	You can find 5 free bikes at station Marina 2&3				

u	hi	greeting			
b	Hi there! How can I help?				
u	book a bike	booking			
b	Sorry but you can't book bikes				
u	give me a bike near torino	search_bike		torino	
b	You can find 7 free bikes at station Castello 2				
u	i want to go to porta susa	plan_trip			porta susa
b	Your trip starts at Saluzzo and ends at Torino. You cannot take a bike from one city and go to another one!				
u	thanks	thank			
b	You're welcome!				
u	i am at torino	set_position		torino	
b	Ok I got your position				
u	who are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	is torino supported?	city_supported		torino	
b	Your trip has no origin and no destination				
u	can you work in torino	city_supported		torino	
b	Unexpected intent: city_supported				
u	is pagno supported?	city_supported		pagno	
b	Unexpected intent: city_supported				
u	is pagno supported?	city_supported		pagno	
b	Nearest supported city is Saluzzo				
u	is nuova york supported?	city_supported		nuova york	
b	Yes, New York, NY is supported				
u	I would like to go to Politecnico di Torino, Torino	plan_trip			Politecnico di Torino, Torino

u	hi	greeting			
b	Hi there! How can I help?				
u	i wanna go to Politecnico di Torino	plan_trip			Politecnico di Torino
u	i am in new york	set_position		new york	
b	Ok I got your position				
u	give me a bike	search_bike			
u	give me a bike	search_bike			
b	You can find 17 free bikes at station Centre St & Chambers St				
u	find me a bike near Polito	search_bike		Polito	
b	You can find 9 free bikes at station Politecnico 1				
u	i am at porta palazzo	set_position		porta palazzo	
b	Ok I got your position				
u	how can I go from unito to polito?	plan_trip	unito		polito
b	Your trip starts at Torino and ends at Milwaukee, WI. You cannot take a bike from one city and go to another one!				
u	how can I go from unito to san salvario?	plan_trip	unito		san salvario
b	You can find 13 free bikes at station San Francesco da Paola				
b	You can find 8 empty slots at station Belfiore				
u	do you work in new york?	city_supported		new york	
b	Yes, New York, NY is supported				
u	can you work in torino	city_supported		torino	
b	Yes, Torino is supported				
u	give me a bike in new york	search_bike		new york	
b	You can find 1 free bikes at station Centre St & Chambers St				

u	Hi	greeting			
b	Hi there! How can I help?				
u	who are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	what can you do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	give me a bike	search_bike			
b	You can find 9 free bikes at station Porta Palatina				
u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	i need a bike in torino	search_bike		torino	
b	You can find 3 free bikes at station Castello 2				
u	where am i?	ask_position			
b	Where are you?				
					
