role	text	intent	from.location	location	to.location
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	where do you work in Piemonte?	city_supported		Piemonte	
b	Nearest supported city is Torino				
u	list the supported cities of Piemonte	city_supported		Piemonte	
b	Nearest supported city is Torino				
u	where do you work in Lazio?	city_supported		Lazio	
b	Nearest supported city is Frosinone				
u	where can I leave my bike in Torino?	search_slot		Torino	
b	You can find 16 empty slots at station Castello 2				
u	👍				
u	give me the path from Piazza Sabotino to Porta Nuova	plan_trip	Piazza Sabotino		Porta Nuova
b	You can find 10 free bikes at station Peschiera				
b	Impossible to find informations				
u	where am I?	ask_position			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	how are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	where can I rent a bike in Turin?	search_bike		Turin	
b	You can find 2 free bikes at station Castello 2				
u	👍				
u	I am in Piazza Sabotino in Torino	set_position		Piazza Sabotino	
b	Ok I got your position				
u	I want to go to Cinema Reposi in Torino	plan_trip			Cinema Reposi in Torino
b	Your trip has no origin and no destination				
u	I want to go from my location to Porta Nuova	plan_trip	my location		Porta Nuova
b	I could not find a place named my location				
b	Where are you?				
u					
b	Ok I got your position				
u	I want to go to Porta Nuova	plan_trip			Porta Nuova
b	You can find 5 free bikes at station 8. Park Palazzi Finanziari				
b	Impossible to find informations				
u	locate me	ask_position			
b	Where are you?				
u					
b	Ok I got your position				
u	I want to go to Via Roma in Cuneo	plan_trip			Via Roma in Cuneo
b	Your trip has no origin and no destination				
u	how can I go from my position to Via Roma?	plan_trip	my position		Via Roma
b	Impossible to find informations				
b	You can find 10 empty slots at station Milwaukee Ave & Cuyler Ave				
u	👎				
u	I want to go from Via Roma in Cuneo to Corso Giolitti in Cuneo	plan_trip	Via Roma in Cuneo		Corso Giolitti in Cuneo
b	Your trip has no origin and no destination				
u	find me a free slot in via Roma	search_slot		via Roma	
b	You can find 10 empty slots at station Milwaukee Ave & Cuyler Ave				
u	👎				
u	Please work in Cuneo	city_supported		Cuneo	
b	Yes, Cuneo is supported				
u	find a bike near Via Roma in Cuneo	search_bike		Via Roma in Cuneo	
b	You can find 4 free bikes at station Milwaukee Ave & Cuyler Ave				
u	👎				
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	Can you work in torino	city_supported		torino	
b	Yes, Torino is supported				
u	Hi TEST	greeting			
b	Hi there! How can I help?				
u	I need to go to pozzo strada from porta palazzo	plan_trip	porta palazzo		pozzo strada
b	You can find 2 free bikes at station Porta Palatina				
b	You can find 11 empty slots at station Peschiera				
u	Are there any stations near stazione lingotto?			stazione lingotto	
b	Your sentence does not have an intent				
u	Are there any free slots near stazione lingotto?	search_slot		stazione lingotto	
b	You can find 3 empty slots at station Pio VII 2				
u	I am in corso palestro 31, which is the nearest bike station?	search_bike		corso palestro 31	
b	Ok I got your position				
u	Which is the nearest bike station?	search_bike			
b	You can find 2 free bikes at station Vittoria				
u	I want to go from torino to brescia	plan_trip	torino		brescia
b	Your trip starts at Torino and ends at Brescia. You cannot take a bike from one city and go to another one!				
u	I want to go from murazzi to reggia di venaria	plan_trip	murazzi		reggia di venaria
b	Impossible to find informations				
b	You can find 1 empty slots at station 04. Reggia				
u	Thanks	thank			
b	You're welcome!				

u	Please find me another free slot near reggia di venaria	search_slot		reggia di venaria	
b	You can find 1 empty slots at station 04. Reggia				
u	Tomorrow i have to go to superga, are there any slot up there?	search_slot		superga	
b	You can find 29 empty slots at station Cleveland Pl & Spring St				
u	I am in torino and i need to go to superga	plan_trip	torino		superga
b	Your trip starts at Torino and ends at New York, NY. You cannot take a bike from one city and go to another one!				
u	I am in venaria at station reggia 04 and there are no bikes, where is the nearest bike station from here?	search_bike		venaria at station reggia 04	
b	You can find 1 free bikes at station 06. Municipio				
u	I am at reggia di venaria and i need a bike	search_bike		reggia di venaria	
b	You can find 1 free bikes at station 06. Municipio				
u	What is the nearest station to supercinema?	search_bike		supercinema	
b	Your sentence does not have an intent				
u	I am at supercinema venaria, what is the nearest bike station?	set_position		supercinema venaria	
b	Ok I got your position				
u	Find the nearest bike station	search_bike			
b	You can find 1 free bikes at station 06. Municipio				
u	I am in borgaro, are there any bike stations?	search_bike		borgaro	
b	You can find 3 free bikes at station 08. San Marchese				
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	Hello, how do you work?	info			
b	Hi there! How can I help?				
u	What are your commands?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	What city do you manage?	city_supported			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	Tell me the bikes in Turin	search_bike		Turin	
b	You can find 9 free bikes at station Castello 2				
u	👍			👍	
					
u	/start	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	I am BotCycle. Try to ask me something about bike sharing!				
u	hi TEST	greeting			
b	Hi there! How can I help?				
u	Hi, i want a bike near Largo Orbassano.	search_bike		Largo Orbassano	
b	You can find 6 free bikes at station Orbassano				
u	How many free spots it has?	search_slot			
b	Your sentence does not have an intent				
u	How many free spots are near Largo Orbassano?	search_slot		Largo Orbassano	
b	You can find 10 empty slots at station Orbassano				
u	How can I reach Porta Susa?	plan_trip			Porta Susa
b	Where are you?				
u					
b	Ok I got your position				
u	How can I reach Porta Susa?	plan_trip			Porta Susa
b	You can find 6 free bikes at station Orbassano				
b	You can find 8 empty slots at station Bolzano				
u	I want to go to the Museo Egizio	plan_trip			Museo Egizio
b	You can find 6 free bikes at station Orbassano				
b	You can find 7 empty slots at station Carlo Alberto				
					
u					
b	Ok I got your position				
u	Locate me	ask_position			
b	Where are you?				
u					
b	Ok I got your position				
u	give me a bike	search_bike			
b	Impossible to find informations				

u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	book a bike	booking			
b	Impossible to find informations				
u	book me a bike	booking			
b	Sorry but you can't book bikes				
u	book a bike	booking			
b	Sorry but you can't book bikes				
u	find me a bike	search_bike			
b	Impossible to find informations				
u	find a bike	search_bike			
b	You can find 5 free bikes at station Marina 2&3				

u	hi	greeting			
b	Hi there! How can I help?				
u	book a bike	booking			
b	Sorry but you can't book bikes				
u	give me a bike near torino	search_bike		torino	
b	You can find 7 free bikes at station Castello 2				
u	i want to go to porta susa	plan_trip			porta susa
b	Your trip starts at Saluzzo and ends at Torino. You cannot take a bike from one city and go to another one!				
u	thanks	thank			
b	You're welcome!				
u	i am at torino	set_position		torino	
b	Ok I got your position				
u	who are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	is torino supported?	city_supported		torino	
b	Your trip has no origin and no destination				
u	can you work in torino	city_supported		torino	
b	Unexpected intent: city_supported				
u	is pagno supported?	city_supported		pagno	
b	Unexpected intent: city_supported				
u	is pagno supported?	city_supported		pagno	
b	Nearest supported city is Saluzzo				
u	is nuova york supported?	city_supported		nuova york	
b	Yes, New York, NY is supported				
u	I would like to go to Politecnico di Torino, Torino	plan_trip			Politecnico di Torino, Torino

u	hi	greeting			
b	Hi there! How can I help?				
u	i wanna go to Politecnico di Torino	plan_trip			Politecnico di Torino
u	i am in new york	set_position		new york	
b	Ok I got your position				
u	give me a bike	search_bike			
u	give me a bike	search_bike			
b	You can find 17 free bikes at station Centre St & Chambers St				
u	find me a bike near Polito	search_bike		Polito	
b	You can find 9 free bikes at station Politecnico 1				
u	i am at porta palazzo	set_position		porta palazzo	
b	Ok I got your position				
u	how can I go from unito to polito?	plan_trip	unito		polito
b	Your trip starts at Torino and ends at Milwaukee, WI. You cannot take a bike from one city and go to another one!				
u	how can I go from unito to san salvario?	plan_trip	unito		san salvario
b	You can find 13 free bikes at station San Francesco da Paola				
b	You can find 8 empty slots at station Belfiore				
u	do you work in new york?	city_supported		new york	
b	Yes, New York, NY is supported				
u	can you work in torino	city_supported		torino	
b	Yes, Torino is supported				
u	give me a bike in new york	search_bike		new york	
b	You can find 1 free bikes at station Centre St & Chambers St				

u	Hi	greeting			
b	Hi there! How can I help?				
u	who are you?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	what can you do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	give me a bike	search_bike			
b	You can find 9 free bikes at station Porta Palatina				
u	hi	greeting			
b	Hi there! How can I help?				
u	hi	greeting			
b	Hi there! How can I help?				
u	i need a bike in torino	search_bike		torino	
b	You can find 3 free bikes at station Castello 2				
u	where am i?	ask_position			
b	Where are you?				
					
u	Hi!	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Your sentence does not have an intent				
u	Is Torino supported?	city_supported		Torino	
b	Yes, Torino is supported				
u	so find me a bike near Politecnico di Torino	search_bike		Politecnico di Torino	
b	You can find 4 free bikes at station Politecnico 2				
u	thanks	thank			
b	You're welcome!				
u	ok	end_discussion			
u	I would like to go to Politecnico di Torino, Torino	plan_trip			Politecnico di Torino, Torino
b	Where are you?				
u	i am at Porta Nuova Station	set_position		Porta Nuova Station	
b	Ok I got your position				
u	I would like to go to Politecnico di Torino, Torino	plan_trip			Politecnico di Torino, Torino
b	You can find 7 free bikes at station Porta Nuova 1				
b	You can find 20 empty slots at station Politecnico 1				
u	ok	end_discussion			
u	Hi!	greeting			
b	Your sentence does not have an intent				
u	What can you do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	ok. I need a bike in beverly hills	search_bike		beverly hills	
b	You can find 3 free bikes at station 90. 34th St / Pico Blvd				
u	ok	end_discussion			
u	I don't know where to leave the bike	search_slot			
b	You can find 9 empty slots at station Marina 2&3				
u	I am in Wilshire blvd	set_position		Wilshire blvd	
b	Ok I got your position				
u	find me a free slot	search_slot			
b	You can find 11 empty slots at station Ciudad Deportiva de Gran Canaria				
u	Thanks	thank			
b	You're welcome!				
u	ok	end_discussion			
u	can you find informations in Seattle?	city_supported		Seattle	
b	Nearest supported city is Victoria				
u	oh what a pity!				
b	Your sentence does not have an intent				
u	ok	end_discussion			
					
u	hi	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
u	how does this work?	info			
b	Your sentence does not have an intent				
u	what I can do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	alright, thanks! so, I'm looking for a ride from my home to Politecnico di Torino	plan_trip	my home		Politecnico di Torino
u	hi again, are you there?	greeting			
b	Hi there! How can I help?				
u	I'm looking for a bike	search_bike			
b	Where are you?				
u	Piazza Castello Torino	search_bike		Piazza Castello Torino	
b	Your trip has no origin and no destination				
u	I'm in Piazza Castello, Torino	set_position		Piazza Castello, Torino	
b	Ok I got your position				
u	I should reach via Giulia di Barolo 21, Torino	plan_trip			via Giulia di Barolo 21, Torino
b	Your trip has no origin and no destination				
u	going to Via Giulia di Barolo 21, Torino	plan_trip			Via Giulia di Barolo 21, Torino

u	hi	greeting			
b	Hi there! How can I help?				
u	I'm in Corso Casale Torino	set_position		Corso Casale Torino	
b	Ok I got your position				
u	I would like to go to Politecnico di Torino, Torino	plan_trip			Politecnico di Torino, Torino
b	You can find 9 free bikes at station Carrara				
b	You can find 20 empty slots at station Politecnico 1				
u	great thanks! can you please book a bike?	booking			
b	You're welcome!				
u	can you please book me a bike?	booking			
b	Sorry but you can't book bikes				
u	alright, thanks!	thank			
b	You're welcome!				

u	hi	greeting			
b	Hi there! How can I help?				
u	I'd like to reach Piazza Vittorio Veneto, Torino from my home that is located in Via Sommacampagna 47 Torino	plan_trip	Via Sommacampagna 47 Torino		Piazza Vittorio Veneto, Torino
b	You can find 9 free bikes at station Carrara				
b	You can find 1 empty slots at station Vittorio Veneto 2				
u	alright, thanks	thank			
b	You're welcome!				
u	which cities are supported?	city_supported			
b	Nearest supported city is Washington, DC				
u	seriously?				
b	Your sentence does not have an intent				
					
u	hey	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Your sentence does not have an intent				
u	hey there! how does it work?	info			
b	Hi there! How can I help?				
u	I want to know what you are able to do	info			
b	Where are you?				
u	I am in ISMB, torino	set_position		ISMB, torino	
b	Ok I got your position				

u	start again	greeting			
b	Your sentence does not have an intent				
u	I want a bike	search_bike			
b	You can find 5 free bikes at station Marina 2&3				
u	locate me first	ask_position			
b	Where are you?				
u	Turin, Via Castelfidardo	set_position		Turin, Via Castelfidardo	
b	Your sentence does not have an intent				
u	I am in Via Castelfidardo, Turin	set_position		Via Castelfidardo, Turin	
b	Ok I got your position				
u	find me a bike	search_bike			
b	You can find 6 free bikes at station Politecnico 4				
u	thanks!	thank			
b	You're welcome!				
u	can you give me more information about the area?				
b	Unexpected intent: city_supported				
u	can I have info about the area?				
b	Your sentence does not have an intent				
u	I want information about the area				
b	Your sentence does not have an intent				
u	ok	end_discussion			

u	hi botcycle	greeting			
b	Hi there! How can I help?				
u	I wanna go to Lingotto	plan_trip			Lingotto
b	You can find 9 free bikes at station Politecnico 4				
b	You can find 5 empty slots at station Pio VII 2				
u	any bikes in the area?	search_bike			
b	You can find 6 free bikes at station E 11 St & Broadway				
u	ok	end_discussion			

u	hi bot	greeting			
b	Hi there! How can I help?				
u	are you there?	greeting			
b	Your sentence does not have an intent				
u	I want to have information about the area where I am right now				
b	You can find 8 empty slots at station Politecnico 4				
u	I am not at Politecnico now	ask_position			
b	Ok I got your position				
u	wrong position!	ask_position			
b	Where are you?				
u	I am in Settimo Torinese right now	set_position		Settimo Torinese	
b	Ok I got your position				
u	now give information about this area please				
b	Your sentence does not have an intent				
u	information about this area				
b	Your sentence does not have an intent				
u	gimme a bike	search_bike			
b	You can find 13 free bikes at station Carrara				
u	ok thanks	thank			
b	You're welcome!				
u	hey bot	greeting			
b	Hi there! How can I help?				
u	can I have some information about places around Politecnico?			Politecnico	
b	Nearest supported city is Cd de México				
u	can I have information about places around Central Park?			Central Park	
b	Your sentence does not have an intent				
u	do you know where I can leave a bike near Politecnico di Torino	search_slot		Politecnico di Torino	
b	You can find 20 empty slots at station Politecnico 1				
u	great thanks	thank			
b	You're welcome!				

u	can I have some information about places around Politecnico di Torino?			Politecnico di Torino	
b	Nearest supported city is Torino				
u	information about places in Torino!			Torino	
b	Yes, Torino is supported				
u	thanks	thank			
b	You're welcome!				
					
u	Hi				
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Your sentence does not have an intent				
u	What can I do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	do you have bike sharing in Nuremberg?	city_supported		Nuremberg	
b	Yes, Nürnberg is supported				
u	where are bike stations?	search_bike			
b	Impossible to find a place named ?				
u	I'm at Jakobsplatz, Nuremberg	set_position		Jakobsplatz, Nuremberg	
b	Ok I got your position				
b	Impossible to find a place named ?				
					
u	Hi kim here.	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hi!	greeting			
b	Hi there! How can I help?				
u	I want a bike in Singapore	search_bike		Singapore	
b	Impossible to find informations. Something went wrong!				
u	Hi there!	greeting			
b	Hi there! How can I help?				
					
